Company,Median NIL Value,Median Instagram Followers,Median TikTok Followers,Median Twitter Followers,Sponsor Count,Unique Athletes Sponsored,Unique Schools Sponsored,Most Frequently Sponsored School,Kmeans
Amazon Merch on Demand,213500.0,220500.0,290300.0,24850.0,2.0,2,2,Oregon State Beavers,4
American Dairy Association Mideast,37000.0,18400.0,50000.0,2500.0,1.0,1,1,Ohio State Buckeyes,1
American Eagle Outfitters,181000.0,46850.0,1639.5,6050.0,4.0,2,2,Ohio State Buckeyes,3
Angel City FC,196500.0,231000.0,118594.5,23452.0,2.0,2,2,UCLA Bruins,0
Apis Cor,42000.0,5100.0,92.0,5800.0,1.0,1,1,Florida Gators,1
Applebee's,317000.0,4650.0,1725.0,5800.0,4.0,2,1,Ohio State Buckeyes,3
Applebee's Grill + Bar,61500.0,16150.0,23150.0,7750.0,2.0,2,2,Kansas Jayhawks,1
Aria Pod+,105000.0,37000.0,659.0,21000.0,1.0,1,1,UCLA Bruins,3
Arvest Bank,69000.0,15400.0,16900.0,16300.0,1.0,1,1,Arkansas Razorbacks,1
Athletic Brewing Company,436000.0,137000.0,1700.0,38000.0,5.0,1,1,Ohio State Buckeyes,0
Auburn Med Spa,22000.0,9700.0,1400.0,273.0,1.0,1,1,Auburn Tigers,1
Auntie Anne’s Pretzels,213000.0,252000.0,145000.0,6500.0,1.0,1,1,Baylor Bears,3
B-Unlimited,102000.0,49000.0,14000.0,25000.0,3.0,1,1,UCF Knights,3
BLACKBOUGHSWIM,84000.0,79000.0,86000.0,690.0,1.0,1,1,Louisville Cardinals,1
BRADY,231200.0,14450.0,7450.0,5050.0,4.0,2,2,Coastal Carolina Chanticleers,3
BUBBL'R,288500.0,339500.0,193000.0,37000.0,2.0,2,2,UCLA Bruins,0
Babe Lash,42000.0,40000.0,602.0,108.0,1.0,1,1,Utah Utes,1
Bad Boy Mowers,437000.0,56000.0,8900.0,16400.0,2.0,1,1,Arkansas Razorbacks,3
Bama Stuff,145000.0,146000.0,179000.0,38000.0,1.0,1,1,Alabama Crimson Tide,0
Bank of America,24000.0,22000.0,189.0,904.0,1.0,1,1,USC Trojans,1
Banter by Piercing Pagoda,213000.0,252000.0,145000.0,6500.0,1.0,1,1,Baylor Bears,3
Barcode,193000.0,180000.0,402000.0,10100.0,1.0,1,1,North Carolina Tar Heels,4
Barstool Sports,38500.0,5050.0,315.0,3350.0,108.0,34,17,Undecided,2
Bartleby,53000.0,44350.0,43700.0,481.5,3.0,2,2,Auburn Tigers,1
Basepath,40000.0,3200.0,259.0,1400.0,4.0,3,2,Kansas State Wildcats,1
Baylee Klingler Hitting Camp,38000.0,30000.0,17000.0,5800.0,1.0,1,1,Washington Huskies,1
Be The Match,105000.0,37000.0,659.0,21000.0,1.0,1,1,UCLA Bruins,3
Beats by Dre,294500.0,119500.0,7850.0,8700.0,9.0,4,4,Clemson Tigers,3
Behind the Glass,22000.0,9700.0,1400.0,273.0,1.0,1,1,Auburn Tigers,1
Berry Blendz,22000.0,4300.0,2300.0,587.0,2.0,1,1,Ohio State Buckeyes,1
Big Brothers Big Sisters of Central Indiana,30000.0,19200.0,2500.0,6300.0,2.0,1,1,Indiana Hoosiers,1
Blue Linen Boutique,14300.0,120.0,15700.0,1600.0,1.0,1,1,Utah Utes,1
Bobbitt Construction,197000.0,16700.0,4600.0,5900.0,2.0,1,1,NC State Wolfpack,3
Bojangles,84000.0,48000.0,6500.0,16800.0,12.0,5,5,Alabama Crimson Tide,5
Bonfire,42000.0,40000.0,602.0,108.0,1.0,1,1,Utah Utes,1
Boomer Kia,143500.0,14600.0,1017.5,10800.0,3.0,2,1,Oklahoma Sooners,1
Boone's Trace National Golf Club,524000.0,76000.0,139000.0,42000.0,1.0,1,1,Kentucky Wildcats,0
Boost Mobile,68000.0,19700.0,602.0,11500.0,8.0,2,2,Colorado Buffaloes,1
Booster Athletes,364000.0,45000.0,2400.0,27000.0,6.0,3,3,Florida State Seminoles,3
