,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Company,Deal Date,School,Sponsor Count,Name
1309,15200.0,2900.0,8000.0,596.0,Fans Meet Idols,8/02/22,Utah Utes,15.0,Jaedyn Rucker
1310,369000.0,440000.0,237000.0,46000.0,Degree Deodorant,8/02/22,UCLA Bruins,13.0,Jordan Chiles
1311,17700.0,6500.0,1400.0,296.0,Diamond Miller Camp,8/02/22,Maryland Terrapins,1.0,Diamond Miller
1315,79000.0,22000.0,189.0,5700.0,Degree Deodorant,8/02/22,Michigan Wolverines,13.0,Junior Colson
1317,42000.0,31000.0,9600.0,12100.0,Degree Deodorant,8/02/22,Wisconsin Badgers,13.0,Chucky Hepburn
1318,437000.0,56000.0,8900.0,16400.0,Children's Safety Center,8/01/22,Arkansas Razorbacks,10.0,Anthony Black
1319,23000.0,7000.0,33000.0,4500.0,Children's Safety Center,8/01/22,Arkansas Razorbacks,10.0,Trevon Brazile
1321,98000.0,84000.0,185000.0,24000.0,Children's Safety Center,8/01/22,Arkansas Razorbacks,10.0,Davonte Davis
1322,23000.0,9200.0,22000.0,6600.0,Children's Safety Center,8/01/22,Arkansas Razorbacks,10.0,Joseph Pinion
1325,18300.0,12600.0,12100.0,3500.0,,8/01/22,NC State Wolfpack,,Breon Pass
1326,33000.0,2200.0,97.0,2100.0,,8/01/22,Virginia Tech Hokies,,Joshua Fuga
1333,287000.0,9400.0,945.0,374.0,,8/01/22,TCU Horned Frogs,,Quentin Johnston
1334,24000.0,21000.0,2400.0,4200.0,,8/01/22,TCU Horned Frogs,,Eddie Lampkin
1338,17700.0,6300.0,407.0,1300.0,,8/01/22,Maryland Terrapins,,Ike Cornish
1339,18200.0,6300.0,7200.0,1400.0,,8/01/22,Maryland Terrapins,,Noah Batchelor
1342,19400.0,7900.0,7100.0,1300.0,,8/01/22,Maryland Terrapins,,Julian Reese
1347,21000.0,7700.0,1300.0,3300.0,Children's Safety Center,8/01/22,Arkansas Razorbacks,10.0,Barry Dunning
1355,225000.0,16100.000000000002,1200.0,2300.0,,8/01/22,NC State Wolfpack,,Terquavion Smith
1360,197000.0,16700.0,4600.0,5900.0,Gopher Brand Athletes,8/01/22,NC State Wolfpack,1.0,Drake Thomas
1362,199000.0,241000.0,2100.0,10000.0,Scratch Kitchen & Cocktails,7/31/22,Oklahoma Sooners,1.0,Ragan Smith
1367,93000.0,10900.0,2300.0,3500.0,The Basketball Tournament,7/30/22,Dayton Flyers,4.0,DaRon Holmes
1370,51000.0,56000.0,17.0,5200.0,The Basketball Tournament,7/30/22,Dayton Flyers,4.0,Mike Sharavjamts
1373,170000.0,60000.0,6600.0,6900.0,J.T. Woolverton Foundation,7/30/22,UCLA Bruins,8.0,Tyger Campbell
1374,16600.0,4900.0,19.0,1200.0,J.T. Woolverton Foundation,7/30/22,UCLA Bruins,8.0,Mac Etienne
1377,421000.0,46000.0,262.0,7700.0,J.T. Woolverton Foundation,7/30/22,UCLA Bruins,8.0,Jaime Jaquez
1378,34000.0,27000.0,9100.0,877.0,J.T. Woolverton Foundation,7/30/22,UCLA Bruins,8.0,Will McClendon
1380,33000.0,3700.0,38.0,1800.0,More than a Bed,7/29/22,Arizona Wildcats,1.0,Keyan Burnett
1381,133000.0,1900.0,31.0,2300.0,NextName,7/29/22,Undecided,20.0,Kendall Smith
1388,32000.0,1500.0,48.0,1100.0,NextName,7/29/22,Illinois Fighting Illini,20.0,Tarique Barnes
1389,242000.0,31000.0,1800.0,6000.0,Community Cancer Fund,7/29/22,Gonzaga Bulldogs,10.0,Julian Strawther
1392,36000.0,34000.0,21000.0,10700.0,Community Cancer Fund,7/29/22,Gonzaga Bulldogs,10.0,Hunter Sallis
1395,20000.0,15900.0,873.0,3600.0,Community Cancer Fund,7/29/22,Gonzaga Bulldogs,10.0,Dominick Harris
1396,15800.0,10300.0,72.0,2300.0,Community Cancer Fund,7/29/22,Gonzaga Bulldogs,10.0,Ben Gregg
1399,76000.0,77000.0,4800.0,9600.0,Quatro Gymnastics,7/29/22,Florida Gators,1.0,Trinity Thomas
1400,15000.0,3100.0,495.0,4.0,Freak Strength and Abby Bosco Camp,7/29/22,Maryland Terrapins,1.0,Abby Bosco
1401,84000.0,79000.0,86000.0,690.0,Lulus,7/29/22,Louisville Cardinals,2.0,Alexa Hendricks
1411,324000.0,57000.0,52.0,8600.0,,7/29/22,Georgia Bulldogs,,Darnell Washington
1412,17100.0,5000.0,370.0,5000.0,Mike Jones Ford Lincoln,7/29/22,Virginia Tech Hokies,2.0,Justyn Mutts
1413,44000.0,5500.0,1300.0,1800.0,Mike Jones Ford Lincoln,7/29/22,Virginia Tech Hokies,2.0,Malachi Thomas
1415,32000.0,1600.0,103.0,1300.0,Basepath,7/28/22,Kansas State Wildcats,4.0,Eli Huggins
1416,48000.0,11500.0,394.0,5000.0,Basepath,7/28/22,Florida State Seminoles,4.0,Bless Harris
1417,40000.0,3200.0,259.0,1400.0,Basepath,7/28/22,Kansas State Wildcats,4.0,Nate Matlack
1421,449000.0,5700.0,520.0,3300.0,,7/28/22,Kansas State Wildcats,,Felix Anudike-Uzomah
1422,443000.0,21000.0,7800.0,8800.0,Darlington Raceway,7/27/22,Coastal Carolina Chanticleers,1.0,Grayson McCall
1425,70000.0,13800.0,2300.0,4400.0,Grafton High School Youth Football Camp,7/27/22,West Virginia Mountaineers,2.0,Garrett Greene
1426,158000.0,10100.0,5400.0,7700.0,Grafton High School Youth Football Camp,7/27/22,West Virginia Mountaineers,2.0,Bryce Ford-Wheaton
1428,16100.000000000002,10400.0,26.0,3000.0,,7/27/22,Pittsburgh Panthers,,John Hugley
1429,22000.0,9700.0,1400.0,273.0,Room2Room Movers,7/27/22,Auburn Tigers,1.0,Sophia Groth
1433,138000.0,153000.0,9500.0,32000.0,Topps,7/26/22,Iowa Hawkeyes,2.0,Caitlin Clark
1435,12000.0,4600.0,9500.0,555.0,C4 Energy,7/26/22,USC Trojans,2.0,Kait Devir
1437,24000.0,157.0,167.0,374.0,Flatstick Pub,7/25/22,Undecided,5.0,Quinn Roff
1440,27000.0,2400.0,316.0,1300.0,Flatstick Pub,7/25/22,Washington State Cougars,5.0,Brennan Jackson
1443,101000.0,98000.0,176000.0,1000.0,Champs Sports,7/25/22,Duke Blue Devils,8.0,Emily Cole
1444,69000.0,10200.0,83000.0,5300.0,Life+STYLE by Laura,7/24/22,Florida Gators,16.0,Jonathan Odom
1445,110000.0,29000.0,4300.0,32000.0,Life+STYLE by Laura,7/24/22,Undecided,16.0,Theo Wease
1446,38000.0,30000.0,17000.0,5800.0,MaxBat,7/24/22,Washington Huskies,1.0,Baylee Klingler
1457,236000.0,8800.0,60000.0,92.0,Power of Bowser Auto,7/22/22,Pittsburgh Panthers,1.0,Calijah Kancey
1465,41000.0,6200.0,1600.0,1700.0,,,Texas Tech Red Raiders,,Jerand Bradley
1466,46000.0,10100.0,998.0,4000.0,,,Texas Tech Red Raiders,,Tahj Brooks
1470,197000.0,16700.0,4600.0,5900.0,Matthews Motors,7/22/22,NC State Wolfpack,2.0,Drake Thomas
1474,168000.0,123000.0,565000.0,14700.0,The SKUT Shop,7/22/22,Oklahoma State Cowboys,1.0,Tori Ortiz
1478,22000.0,8700.0,6000.0,2300.0,,7/21/22,Tennessee Volunteers,,Justine Pissott
1479,55000.0,10100.0,1800.0,3600.0,,7/21/22,Georgia Bulldogs,,Kamari Lassiter
1481,30000.0,3500.0,678.0,1600.0,,,Texas Tech Red Raiders,,Trey Wolff
1483,32000.0,4700.0,11000.0,2900.0,,,Texas Tech Red Raiders,,Austin McNamara
1485,38000.0,3900.0,1600.0,1800.0,,,Texas Tech Red Raiders,,Nate Floyd
1488,28000.0,17800.0,150.0,7200.0,Salvio's Pizza,7/21/22,North Carolina Tar Heels,1.0,Dontrez Styles
1489,74000.0,16400.0,177.0,7500.0,Levi's,7/21/22,Michigan Wolverines,4.0,Erick All
1491,91000.0,17300.0,11.0,7100.0,Levi's,7/21/22,Alabama Crimson Tide,4.0,Cameron Latu
1497,61000.0,15100.0,12.0,11500.0,,7/20/22,Nebraska Cornhuskers,,Tyreke Johnson
1499,44000.0,5500.0,1300.0,1800.0,,7/20/22,Virginia Tech Hokies,,Malachi Thomas
1500,42000.0,3400.0,241.0,2000.0,,7/20/22,Virginia Tech Hokies,,Da'Wain Lofton
1501,59000.0,15300.0,20.0,10700.0,,7/20/22,Virginia Tech Hokies,,Dax Hollifield
1502,44000.0,5200.0,104.0,2200.0,,7/20/22,Virginia Tech Hokies,,Kaleb Smith
1504,35000.0,2000.0,86.0,4100.0,,7/20/22,Nebraska Cornhuskers,,Henry Lutovsky
1507,271000.0,11700.0,60.0,10300.0,,7/20/22,Nebraska Cornhuskers,,Garrett Nelson
1508,140000.0,11200.0,572.0,9200.0,,7/20/22,Nebraska Cornhuskers,,Caleb Tannor
1510,80000.0,16500.0,3900.0,16000.0,,7/20/22,Nebraska Cornhuskers,,Chubba Purdy
1512,51000.0,8600.0,283.0,5500.0,,7/20/22,Nebraska Cornhuskers,,Myles Farmer
1514,57000.0,10700.0,508.0,14400.0,,7/20/22,Nebraska Cornhuskers,,Omar Manning
1517,55000.0,8500.0,33000.0,7800.0,,7/20/22,Nebraska Cornhuskers,,Jaquez Yant
1519,57000.0,10600.0,4400.0,14000.0,,7/20/22,Nebraska Cornhuskers,,Thomas Fidone
1526,29000.0,1200.0,158.0,1700.0,,,Texas Tech Red Raiders,,Joseph Adedire
1529,17100.0,5000.0,370.0,5000.0,,7/20/22,Virginia Tech Hokies,,Justyn Mutts
1530,48000.0,4800.0,429.0,2000.0,,7/20/22,Penn State Nittany Lions,,Cam Miller
1532,53000.0,7600.0,3100.0,5400.0,,7/20/22,Penn State Nittany Lions,,Dani Dennis-Sutton
1534,23000.0,12600.0,1200.0,5900.0,,7/19/22,West Virginia Mountaineers,,Erik Stevenson
1535,84000.0,79000.0,86000.0,690.0,Kroger,7/19/22,Louisville Cardinals,2.0,Alexa Hendricks
1536,193000.0,180000.0,402000.0,10100.0,Actively Black,7/19/22,North Carolina Tar Heels,4.0,Deja Kelly
1542,436000.0,137000.0,1700.0,38000.0,Designer Shoe Warehouse,7/18/22,Ohio State Buckeyes,2.0,Jaxon Smith-Njigba
1543,292000.0,18700.0,179.0,10000.0,American Eagle Outfitters,7/18/22,Ohio State Buckeyes,4.0,Denzel Burke
1549,35000.0,3800.0,618.0,2700.0,,,Texas Tech Red Raiders,,Maurion Horn
1559,55000.0,9600.0,65000.0,1900.0,,,Texas Tech Red Raiders,,Marquis Waters
1564,34000.0,270.0,62.0,831.0,,,Undecided,,Chadarius Townsend
1566,62000.0,13300.0,6100.0,5800.0,,,Texas Tech Red Raiders,,Behren Morton
1570,39000.0,4700.0,497.0,2200.0,,,Texas Tech Red Raiders,,Cam'Ron Valdez
1574,29000.0,1200.0,363.0,1500.0,,,Texas Tech Red Raiders,,Jaylon Hutchings
1576,29000.0,1000.0,156.0,1400.0,,,Texas Tech Red Raiders,,Trevon McAlpine
1577,35000.0,1700.0,94.0,510.0,,,Texas Tech Red Raiders,,LB Moore
1579,42000.0,7500.0,3100.0,55.0,,,Texas Tech Red Raiders,,Baylor Cupp
1581,38000.0,3700.0,141.0,1300.0,,,Texas Tech Red Raiders,,Mason Tharp
1585,55000.0,18400.0,116.0,1400.0,,,Texas Tech Red Raiders,,Malik Dunlap
1595,38000.0,3400.0,2000.0,1300.0,,,Texas Tech Red Raiders,,Tyrique Matthews
1600,151000.0,27000.0,1100.0,15500.0,Life+STYLE by Laura,7/18/22,Georgia Bulldogs,16.0,Tykee Smith
1601,105000.0,37000.0,659.0,21000.0,LegalZoom,7/18/22,UCLA Bruins,1.0,Chase Griffin
1603,29000.0,16600.0,16300.0,880.0,,7/18/22,Florida State Seminoles,,Ta'Niya Laston
1605,84000.0,79000.0,86000.0,690.0,Bright Swimwear,7/17/22,Louisville Cardinals,2.0,Alexa Hendricks
