,Name,Company,University,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Sport
22,Colby Jones,"['Cameo', 'Barstool Sports']",Xavier,,,,,Basketball
23,Connor McCaffery,"['Luka Garza Skills Camp', 'Double Z Bar and Grill', 'Barstool Sports']",Iowa,,,,,Basketball
24,Cooper DeJean,['Barstool Sports'],Iowa,60000.0,16300.0,2500.0,5600.0,Football
25,Corey Thornton,[nan],UCF,,,,,Football
26,Daimion Collins,"['Cameo', nan]",Kentucky,40000.0,29000.0,2900.0,12000.0,Basketball
27,Davonte Davis,"[""Children's Safety Center"", nan]",Arkansas,98000.0,84000.0,185000.0,24000.0,Basketball
28,DeAndre Williams,"['The National Civil Rights Museum', nan]",Memphis,14900.0,,,,Basketball
29,DeMarcco Hellams,"['YOKE', 'Yoke Gaming']",Alabama,69000.0,21000.0,135.0,11100.0,Football
30,Deja Kelly,"['KINLÒ', 'Kinly', 'Actively Black', 'Barcode', 'Essentia Water', 'Forever 21', 'Beats by Dre', ""Dunkin'"", 'Outback Steakhouse']",North Carolina,193000.0,180000.0,402000.0,10100.0,Basketball
31,Denzel Burke,"['Kane Footwear', nan, 'American Eagle Outfitters']",Ohio State,292000.0,18700.0,179.0,10000.0,Football
32,Deshun Murrell,"['Fans Meet Idols', 'ASAS-Los Angeles', 'The Coldest Water', 'Liquid I.V.', 'Wrangler', 'scoutSMART', 'PSD Underwear', 'SoHoodie']",UCLA,72000.0,17600.0,118000.0,1900.0,Football
33,Dominique Onu,"['PUMA', 'The Athletic Collection', 'Sprouts Farmers Market', 'Fortnite', 'VO2', 'GLD', 'FTX', nan]",UCLA,22000.0,12300.0,4300.0,1100.0,Basketball
34,Dont'e Thornton,"[nan, 'Barstool Sports']",Oregon,84000.0,33000.0,53000.0,6400.0,Football
35,Dorian Thompson-Robinson,"['Activision', 'EATnaked.LA', 'The Athletic Collection', 'Native Youth Camp', 'Friends over Fans', 'SoFi', 'STITCHED', 'FriendsOverFans', 'crocs', 'v-moda', 'Candy Digital', 'Cameo', nan]",UCLA,771000.0,101000.0,644000.0,17200.0,Football
36,Eli Brooks,"['The Players Trunk', nan]",Michigan,,,,,Basketball
37,Ethan Carde,"[nan, 'Barstool Sports']",Texas Tech,22000.0,,,673.0,Football
38,Garrett Greene,"['Grafton High School Youth Football Camp', nan, 'Barstool Sports']",West Virginia,70000.0,13800.0,2300.0,4400.0,Football
39,Gervon Dexter,[nan],Florida,169000.0,36000.0,2200.0,26000.0,Football
40,Grace Lyons,"[nan, 'Resilient SFBL', 'Devon Energy', 'Chinook Seedery']",Oklahoma,50000.0,43000.0,,9800.0,Softball
41,Gradey Dick,"['Long McArthur Ford', 'Charlie Hustle', 'Coaches vs. Cancer', 'WME Sports', nan]",Kansas,178000.0,92000.0,55000.0,9600.0,Basketball
42,Graham Mertz,"['Pepsi', 'Engage', 'Panini America', ""Raising Cane's"", 'Raising Canes']",Wisconsin,169000.0,71000.0,900.0,26000.0,Football
43,Hakim Hart,[nan],Maryland,,,,,Basketball
